"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2016-20","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","9,455","13.8"
"2016-20","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","7,847","21.3"
"2016-20","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","18,342","17.7"
"2016-20","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","10,370","9.2"
"2016-20","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","4,505","6.2"
"2016-20","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","7,482","9.8"
"2016-20","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","10,522","9.5"
"2016-20","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","7,848","9.6"
"2016-20","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","9,587","10.1"
"2016-20","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","4,370","6.0"
"2016-20","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","3,503","7.6"
"2016-20","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","4,991","4.7"
"2016-20","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","5,359","4.9"
"2016-20","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","3,998","4.4"
"2016-20","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","2,540","3.5"
"2016-20","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","1,972","4.7"
"2016-20","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","5,057","5.7"
"2016-20","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","2,892","9.9"
"2016-20","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","7,197","8.0"
"2016-20","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","24,712","17.1"
"2016-20","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","8,768","9.6"
