"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Total population","Asian alone (percent)","Black alone (percent)","Hispanic alone (percent)","White alone (percent)","Non-white (percent)"
"2017-21","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","95,662","44.1","2.8","13.9","36.7","63.3"
"2017-21","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","272,026","17.7","2.3","29.2","47.3","52.7"
"2017-21","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","101,723","37.0","7.7","17.8","34.4","65.6"
"2017-21","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","295,180","26.0","9.9","33.9","18.9","81.1"
"2017-21","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","327,755","18.9","48.6","17.2","6.9","93.1"
"2017-21","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","332,158","20.4","41.5","14.3","17.9","82.1"
"2017-21","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","135,797","3.9","34.4","23.3","34.7","65.3"
"2017-21","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","71,589","7.2","24.7","35.6","29.2","70.8"
"2017-21","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","127,116","12.9","16.2","20.9","47.6","52.4"
"2017-21","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","93,736","17.8","3.7","15.1","60.7","39.3"
"2017-21","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","200,753","6.4","1.5","12.3","77.6","22.4"
